# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08359040 0.13185130 0.22837310 
0.131369  2.109323 
0.131851  2.115701 

0.131851  2.115701 
0.132817  2.128630 
0.133782  2.141781 
0.134747  2.155147 
0.135712  2.168724 
0.136677  2.182506 
0.137643  2.196487 
0.138608  2.210662 
0.139573  2.225024 
0.140538  2.239568 
0.141504  2.254287 
0.142469  2.269175 
0.143434  2.284225 
0.144399  2.266356 
0.145364  2.241952 
0.146330  2.217472 
0.147295  2.192918 
0.148260  2.168293 
0.149225  2.143597 
0.150190  2.118833 
0.151156  2.094003 
0.152121  2.069108 
0.153086  2.044149 
0.154051  2.019130 
0.155017  1.994050 
0.155982  1.968912 
0.156947  1.943718 
0.157912  1.918469 
0.158877  1.893166 
0.159843  1.867812 
0.160808  1.842407 
0.161773  1.816953 
0.162738  1.791451 
0.163704  1.765903 
0.164669  1.740310 
0.165634  1.714674 
0.166599  1.688996 
0.167564  1.663276 
0.168530  1.637518 
0.169495  1.611720 
0.170460  1.585886 
0.171425  1.560015 
0.172391  1.534110 
0.173356  1.508171 
0.174321  1.482199 
0.175286  1.456196 
0.176251  1.430162 
0.177216  1.404099 
0.178182  1.378007 
0.179147  1.351888 
0.180112  1.325743 
0.181077  1.299572 
0.182043  1.273376 
0.183008  1.247156 
0.183973  1.220913 
0.184938  1.194649 
0.185903  1.168363 
0.186869  1.142057 
0.187834  1.115731 
0.188799  1.089386 
0.189764  1.063022 
0.190730  1.036642 
0.191695  1.010244 
0.192660  0.983831 
0.193625  0.957402 
0.194590  0.930958 
0.195556  0.904500 
0.196521  0.878029 
0.197486  0.851544 
0.198451  0.825048 
0.199417  0.798539 
0.200382  0.772019 
0.201347  0.745488 
0.202312  0.718947 
0.203277  0.692396 
0.204243  0.665836 
0.205208  0.639267 
0.206173  0.612690 
0.207138  0.586105 
0.208103  0.559512 
0.209069  0.532912 
0.210034  0.506306 
0.210999  0.479693 
0.211964  0.453074 
0.212930  0.426450 
0.213895  0.399821 
0.214860  0.373187 
0.215825  0.346549 
0.216790  0.319907 
0.217756  0.293261 
0.218721  0.266611 
0.219686  0.239959 
0.220651  0.213303 
0.221617  0.186646 
0.222582  0.159986 
0.223547  0.133324 
0.224512  0.106661 
0.225477  0.079997 
0.226443  0.053332 
0.227408  0.026666 
0.228373  0.000000 


0.000000  0.000000 
0.000836  0.037110 
0.001672  0.074217 
0.002508  0.111320 
0.003344  0.148415 
0.004180  0.185501 
0.005015  0.222576 
0.005851  0.259636 
0.006687  0.296679 
0.007523  0.333704 
0.008359  0.370707 
0.009195  0.407687 
0.010031  0.444641 
0.010867  0.481566 
0.011703  0.518461 
0.012539  0.555323 
0.013374  0.592150 
0.014210  0.628939 
0.015046  0.665688 
0.015882  0.702395 
0.016718  0.739057 
0.017554  0.775673 
0.018390  0.812239 
0.019226  0.848754 
0.020062  0.885216 
0.020898  0.921621 
0.021733  0.957969 
0.022569  0.994255 
0.023405  1.030479 
0.024241  1.066639 
0.025077  1.102731 
0.025913  1.138753 
0.026749  1.174705 
0.027585  1.210582 
0.028421  1.246384 
0.029257  1.282107 
0.030093  1.317750 
0.030928  1.353311 
0.031764  1.388787 
0.032600  1.424177 
0.033436  1.459477 
0.034272  1.494687 
0.035108  1.529803 
0.035944  1.564825 
0.036780  1.599749 
0.037616  1.634574 
0.038452  1.669298 
0.039288  1.703918 
0.040123  1.738432 
0.040959  1.772839 
0.041795  1.807137 
0.042631  1.841323 
0.043467  1.875395 
0.044303  1.909351 
0.045139  1.943190 
0.045975  1.976910 
0.046811  2.010507 
0.047647  2.043981 
0.048482  2.077330 
0.049318  2.110551 
0.050154  2.143642 
0.050990  2.176602 
0.051826  2.209428 
0.052662  2.242119 
0.053498  2.274673 
0.054334  2.307087 
0.055170  2.339360 
0.056005  2.371490 
0.056841  2.403474 
0.057677  2.435312 
0.058513  2.467000 
0.059349  2.456465 
0.060185  2.438879 
0.061021  2.417282 
0.061857  2.395558 
0.062693  2.373711 
0.063529  2.351743 
0.064365  2.329659 
0.065200  2.307463 
0.066036  2.285156 
0.066872  2.262743 
0.067708  2.240228 
0.068544  2.217613 
0.069380  2.194902 
0.070216  2.172099 
0.071052  2.149208 
0.071888  2.126230 
0.072724  2.103171 
0.073559  2.080034 
0.074395  2.056821 
0.075231  2.033537 
0.076067  2.010186 
0.076903  1.986770 
0.077739  1.963294 
0.078575  1.949074 
0.079411  1.965796 
0.080247  1.982403 
0.081083  1.998894 
0.081919  2.015266 
0.082754  2.031519 
0.083590  2.047652 

0.083590  2.047652 
0.084073  2.047737 
0.084556  2.047991 
0.085038  2.048414 
0.085521  2.049006 
0.086003  2.049766 
0.086486  2.050695 
0.086969  2.051791 
0.087451  2.053054 
0.087934  2.054483 
0.088416  2.056077 
0.088899  2.057836 
0.089382  2.059758 
0.089864  2.061842 
0.090347  2.064087 
0.090829  2.066491 
0.091312  2.069054 
0.091795  2.071773 
0.092277  2.074647 
0.092760  2.077674 
0.093243  2.080853 
0.093725  2.084182 
0.094208  2.087658 
0.094690  2.091281 
0.095173  2.095046 
0.095656  2.098954 
0.096138  2.103000 
0.096621  2.107184 
0.097103  2.111502 
0.097586  2.115952 
0.098069  2.120532 
0.098551  2.125238 
0.099034  2.130069 
0.099516  2.135022 
0.099999  2.140094 
0.100482  2.145281 
0.100964  2.150582 
0.101447  2.155994 
0.101930  2.161512 
0.102412  2.167135 
0.102895  2.172859 
0.103377  2.178682 
0.103860  2.184599 
0.104343  2.190608 
0.104825  2.196706 
0.105308  2.202889 
0.105790  2.209155 
0.106273  2.215499 
0.106756  2.221919 
0.107238  2.228410 
0.107721  2.234971 
0.108203  2.241596 
0.108686  2.248284 
0.109169  2.255030 
0.109651  2.261831 
0.110134  2.268683 
0.110617  2.275584 
0.111099  2.282528 
0.111582  2.289514 
0.112064  2.296537 
0.112547  2.303594 
0.113030  2.310681 
0.113512  2.317795 
0.113995  2.324933 
0.114477  2.332090 
