# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08776990 0.13844380 0.23979180 
0.207360  1.027045 
0.208374  0.995491 
0.209387  0.963887 
0.210401  0.932234 
0.211414  0.900534 
0.212428  0.868787 
0.213441  0.836997 
0.214455  0.805163 
0.215468  0.773288 
0.216482  0.741372 
0.217495  0.709419 
0.218509  0.677428 
0.219522  0.645403 
0.220536  0.613343 
0.221549  0.581252 
0.222563  0.549130 
0.223576  0.516979 
0.224590  0.484801 
0.225603  0.452597 
0.226616  0.420369 
0.227630  0.388119 
0.228643  0.355849 
0.229657  0.323559 
0.230671  0.291252 
0.231684  0.258930 
0.232697  0.226594 
0.233711  0.194246 
0.234724  0.161888 
0.235738  0.129521 
0.236751  0.097146 
0.237765  0.064767 
0.238778  0.032384 
0.239792  0.000000 


0.000000  0.000000 
0.000878  0.044449 
0.001755  0.088895 
0.002633  0.133333 
0.003511  0.177759 
0.004389  0.222170 
0.005266  0.266561 
0.006144  0.310929 
0.007022  0.355270 
0.007899  0.399581 
0.008777  0.443856 
0.009655  0.488093 
0.010532  0.532287 
0.011410  0.576435 
0.012288  0.620533 
0.013166  0.664577 
0.014043  0.708563 
0.014921  0.752488 
0.015799  0.796347 
0.016676  0.840137 
0.017554  0.883854 
0.018432  0.927495 
0.019309  0.971055 
0.020187  1.014530 
0.021065  1.057918 
0.021943  1.101214 
0.022820  1.144414 
0.023698  1.187515 
0.024576  1.230514 
0.025453  1.273405 
0.026331  1.316187 
0.027209  1.358854 
0.028086  1.401404 
0.028964  1.443833 
0.029842  1.486137 
0.030720  1.528312 
0.031597  1.570355 
0.032475  1.612262 
0.033353  1.654029 
0.034230  1.695654 
0.035108  1.737132 
0.035986  1.778460 
0.036863  1.819634 
0.037741  1.860651 
0.038619  1.901507 
0.039496  1.942198 
0.040374  1.982722 
0.041252  2.023074 
0.042130  2.063251 
0.043007  2.103249 
0.043885  2.143065 
0.044763  2.182696 
0.045640  2.222137 
0.046518  2.261385 
0.047396  2.300438 
0.048273  2.339290 
0.049151  2.377940 
0.050029  2.416382 
0.050907  2.454614 
0.051784  2.492632 
0.052662  2.530433 
0.053540  2.568013 
0.054417  2.605368 
0.055295  2.642495 
0.056173  2.679391 
0.057050  2.716051 
0.057928  2.752472 
0.058806  2.788651 
0.059684  2.824583 
0.060561  2.837460 
0.061439  2.811090 
0.062317  2.784568 
0.063194  2.757899 
0.064072  2.731086 
0.064950  2.704134 
0.065827  2.677046 
0.066705  2.649826 
0.067583  2.622478 
0.068460  2.595005 
0.069338  2.567412 
0.070216  2.539701 
0.071094  2.511877 
0.071971  2.483944 
0.072849  2.455905 
0.073727  2.427763 
0.074604  2.399523 
0.075482  2.371188 
0.076360  2.342762 
0.077238  2.314249 
0.078115  2.285652 
0.078993  2.256975 
0.079871  2.233066 
0.080748  2.251714 
0.081626  2.270199 
0.082504  2.288518 
0.083381  2.306672 
0.084259  2.324658 
0.085137  2.342476 
0.086014  2.360124 
0.086892  2.377601 
0.087770  2.394907 

0.087770  2.394907 
0.088277  2.395002 
0.088783  2.395288 
0.089290  2.395765 
0.089797  2.396431 
0.090304  2.397288 
0.090810  2.398334 
0.091317  2.399569 
0.091824  2.400991 
0.092330  2.402601 
0.092837  2.404397 
0.093344  2.406378 
0.093851  2.408543 
0.094357  2.410890 
0.094864  2.413419 
0.095371  2.416128 
0.095878  2.419014 
0.096384  2.422077 
0.096891  2.425315 
0.097398  2.428725 
0.097905  2.432306 
0.098411  2.436056 
0.098918  2.439972 
0.099425  2.444053 
0.099932  2.448295 
0.100438  2.452697 
0.100945  2.457255 
0.101452  2.461968 
0.101959  2.466833 
0.102465  2.471846 
0.102972  2.477005 
0.103479  2.482307 
0.103985  2.487750 
0.104492  2.493329 
0.104999  2.499043 
